model,lambda,total_tasks,total_time_ms,completed,offloaded,local,avg_latency_ms,pct_local,pct_offloaded
resnet50,5,475,100143,475,475,0,42.00,0.00,100.00
resnet50,10,1002,100072,1002,1002,0,35.00,0.00,100.00
resnet50,15,1464,100106,1464,1464,0,35.00,0.00,100.00
resnet50,20,2014,100070,2014,2014,0,35.00,0.00,100.00
resnet50,25,2528,100107,2528,2528,0,36.00,0.00,100.00
resnet50,30,3007,100095,3007,3007,0,37.00,0.00,100.00
resnet50,35,3539,100099,3539,3539,0,37.00,0.00,100.00
resnet50,40,4006,100085,4006,4006,0,38.00,0.00,100.00
resnet50,45,4515,100078,4515,4515,0,39.00,0.00,100.00
resnet50,50,4802,100104,4802,4802,0,40.00,0.00,100.00
resnet50,55,5419,100071,5419,5419,0,41.00,0.00,100.00
resnet50,60,6092,100091,6092,6092,0,45.00,0.00,100.00
resnet50,65,6514,100089,6514,6514,0,46.00,0.00,100.00
resnet50,70,6968,100093,6968,6968,0,48.00,0.00,100.00
resnet50,75,7552,100161,7552,7552,0,54.00,0.00,100.00
resnet50,80,7970,100130,7970,7967,3,61.00,0.04,99.96
resnet50,85,8313,100121,8313,8300,13,70.00,0.16,99.84
resnet50,90,8928,100113,8928,8898,30,86.00,0.34,99.66
resnet50,95,9442,100216,9442,9207,235,144.00,2.49,97.51
resnet50,100,9916,100095,9916,9451,465,211.00,4.69,95.31
resnet50,105,10352,129744,10352,9471,881,1681.00,8.51,91.49
resnet50,110,10795,180156,10795,9522,1273,5155.00,11.79,88.21
