model,lambda,completed,offloaded,local,avg_latency_ms,pct_local,pct_offloaded
resnet50,100,1500,1479,20,122.60,1.38,98.62
resnet50,200,1499,772,727,26736.40,48.51,51.49
resnet50,300,1500,475,1024,56323.30,68.28,31.72
resnet50,400,1500,327,1172,76018.70,78.17,21.83
resnet50,500,1500,327,1172,76838.30,78.18,21.82
resnet50,600,1500,176,1323,98775.70,88.22,11.78
resnet50,700,1500,176,1323,98613.70,88.24,11.76
resnet50,800,1500,176,1323,98172.90,88.23,11.77
resnet50,900,1500,177,1322,98408.00,88.16,11.84
resnet50,1000,1500,176,1323,98569.40,88.23,11.77
resnet50,1100,1500,75,1424,114592.70,94.96,5.04
resnet50,1200,1500,78,1421,113998.00,94.77,5.23
resnet50,1300,1500,75,1424,114410.70,94.96,5.04
resnet50,1400,1500,76,1423,114164.90,94.89,5.11
resnet50,1500,1500,76,1423,114138.20,94.88,5.12
